id,round,date,home_team,tf,away_team,home_score,away_score
96,10,Sun Nov 29 2020,Southampton,2–3,Manchester Utd,2,3
97,10,Sun Nov 29 2020,Chelsea,0–0,Tottenham,0,0
98,10,Sun Nov 29 2020,Arsenal,1–2,Wolves,1,2
99,10,Mon Nov 30 2020,Leicester City,1–2,Fulham,1,2
100,10,Mon Nov 30 2020,West Ham,2–1,Aston Villa,2,1
101,11,Sat Dec 05 2020,Burnley,1–1,Everton,1,1
102,11,Sat Dec 05 2020,Manchester City,2–0,Fulham,2,0
103,11,Sat Dec 05 2020,West Ham,1–3,Manchester Utd,1,3
104,11,Sat Dec 05 2020,Chelsea,3–1,Leeds United,3,1
105,11,Sun Dec 06 2020,West Brom,1–5,Crystal Palace,1,5
106,11,Sun Dec 06 2020,Sheffield Utd,1–2,Leicester City,1,2
107,11,Sun Dec 06 2020,Tottenham,2–0,Arsenal,2,0
108,11,Sun Dec 06 2020,Liverpool,4–0,Wolves,4,0
109,11,Mon Dec 07 2020,Brighton,1–2,Southampton,1,2
110,11,Sat Jan 23 2021(P),Aston Villa,2–0,Newcastle Utd,2,0
111,12,Fri Dec 11 2020,Leeds United,1–2,West Ham,1,2
112,12,Sat Dec 12 2020,Wolves,0–1,Aston Villa,0,1
113,12,Sat Dec 12 2020,Newcastle Utd,2–1,West Brom,2,1
114,12,Sat Dec 12 2020,Manchester Utd,0–0,Manchester City,0,0
115,12,Sat Dec 12 2020,Everton,1–0,Chelsea,1,0
116,12,Sun Dec 13 2020,Southampton,3–0,Sheffield Utd,3,0
117,12,Sun Dec 13 2020,Crystal Palace,1–1,Tottenham,1,1
118,12,Sun Dec 13 2020,Fulham,1–1,Liverpool,1,1
119,12,Sun Dec 13 2020,Leicester City,3–0,Brighton,3,0
120,12,Sun Dec 13 2020,Arsenal,0–1,Burnley,0,1
121,13,Tue Dec 15 2020,Wolves,2–1,Chelsea,2,1
122,13,Tue Dec 15 2020,Manchester City,1–1,West Brom,1,1
123,13,Wed Dec 16 2020,Arsenal,1–1,Southampton,1,1
124,13,Wed Dec 16 2020,Leicester City,0–2,Everton,0,2
125,13,Wed Dec 16 2020,Leeds United,5–2,Newcastle Utd,5,2
126,13,Wed Dec 16 2020,Liverpool,2–1,Tottenham,2,1
127,13,Wed Dec 16 2020,West Ham,1–1,Crystal Palace,1,1
128,13,Wed Dec 16 2020,Fulham,0–0,Brighton,0,0
129,13,Thu Dec 17 2020,Aston Villa,0–0,Burnley,0,0
130,13,Thu Dec 17 2020,Sheffield Utd,2–3,Manchester Utd,2,3
131,14,Sat Dec 19 2020,Crystal Palace,0–7,Liverpool,0,7
132,14,Sat Dec 19 2020,Southampton,0–1,Manchester City,0,1
133,14,Sat Dec 19 2020,Everton,2–1,Arsenal,2,1
134,14,Sat Dec 19 2020,Newcastle Utd,1–1,Fulham,1,1
135,14,Sun Dec 20 2020,Brighton,1–1,Sheffield Utd,1,1
136,14,Sun Dec 20 2020,Tottenham,0–2,Leicester City,0,2
137,14,Sun Dec 20 2020,Manchester Utd,6–2,Leeds United,6,2
138,14,Sun Dec 20 2020,West Brom,0–3,Aston Villa,0,3
139,14,Mon Dec 21 2020,Burnley,2–1,Wolves,2,1
140,14,Mon Dec 21 2020,Chelsea,3–0,West Ham,3,0
141,15,Sat Dec 26 2020,Leicester City,2–2,Manchester Utd,2,2
142,15,Sat Dec 26 2020,Aston Villa,3–0,Crystal Palace,3,0
143,15,Sat Dec 26 2020,Fulham,0–0,Southampton,0,0
144,15,Sat Dec 26 2020,Arsenal,3–1,Chelsea,3,1
145,15,Sat Dec 26 2020,Sheffield Utd,0–1,Everton,0,1
146,15,Sat Dec 26 2020,Manchester City,2–0,Newcastle Utd,2,0
147,15,Sun Dec 27 2020,Leeds United,1–0,Burnley,1,0
148,15,Sun Dec 27 2020,West Ham,2–2,Brighton,2,2
