team,against_team,best_val,worst_val
Fulham,Aston Villa,0.4898979485566356,0.0
Aston Villa,Fulham,0.6,0.010000000000000002
Fulham,Manchester City,0.4898979485566356,0.0
Manchester City,Fulham,0.7745966692414834,0.04000000000000001
Fulham,Manchester Utd,0.4898979485566356,0.0
Manchester Utd,Fulham,0.9486832980505138,0.0
Fulham,Burnley,0.4898979485566356,0.0
Burnley,Fulham,0.6,0.0
Fulham,Chelsea,0.4898979485566356,0.0
Chelsea,Fulham,0.6828203230275509,0.1
Fulham,Brighton,0.4898979485566356,0.0
Brighton,Fulham,0.5477225575051662,0.0
Fulham,Wolves,0.4898979485566356,0.0
Wolves,Fulham,0.4798979485566356,0.1
Fulham,Sheffield Utd,0.4898979485566356,0.0
Sheffield Utd,Fulham,0.4798979485566356,0.0
Fulham,Everton,0.4898979485566356,0.0
Everton,Fulham,0.6495067811865476,0.5748555320336759
Fulham,Tottenham,0.4898979485566356,0.0
Tottenham,Fulham,0.838528137423857,0.010000000000000002
Fulham,Leicester City,0.4898979485566356,0.0
Leicester City,Fulham,0.7345966692414834,0.0
Fulham,West Brom,0.4898979485566356,0.0
West Brom,Fulham,0.5599999999999999,0.010000000000000002
Fulham,Newcastle Utd,0.4898979485566356,0.0
Newcastle Utd,Fulham,0.6528203230275509,0.0
Fulham,West Ham,0.4898979485566356,0.0
West Ham,Fulham,0.6,0.010000000000000002
Fulham,Leeds United,0.4898979485566356,0.0
Leeds United,Fulham,0.7745966692414834,0.0
Fulham,Liverpool,0.4898979485566356,0.0
Liverpool,Fulham,0.59,0.5333225575051662
Fulham,Southampton,0.4898979485566356,0.0
Southampton,Fulham,0.6028203230275508,0.12
Fulham,Crystal Palace,0.4898979485566356,0.0
Crystal Palace,Fulham,0.7645966692414834,0.010000000000000002
Fulham,Arsenal,0.4898979485566356,0.0
Arsenal,Fulham,0.6,0.0144
Arsenal,Aston Villa,0.6,0.0144
Aston Villa,Arsenal,0.6,0.010000000000000002
Arsenal,Manchester City,0.6,0.0144
Manchester City,Arsenal,0.7745966692414834,0.04000000000000001
Arsenal,Manchester Utd,0.6,0.0144
Manchester Utd,Arsenal,0.9486832980505138,0.0
Arsenal,Burnley,0.6,0.0144
Burnley,Arsenal,0.6,0.0
Arsenal,Chelsea,0.6,0.0144
Chelsea,Arsenal,0.6828203230275509,0.1
Arsenal,Brighton,0.6,0.0144
Brighton,Arsenal,0.5477225575051662,0.0
Arsenal,Wolves,0.6,0.0144
Wolves,Arsenal,0.4798979485566356,0.1
Arsenal,Sheffield Utd,0.6,0.0144
Sheffield Utd,Arsenal,0.4798979485566356,0.0
Arsenal,Everton,0.6,0.0144
Everton,Arsenal,0.6495067811865476,0.5748555320336759
Arsenal,Tottenham,0.6,0.0144
Tottenham,Arsenal,0.838528137423857,0.010000000000000002
Arsenal,Leicester City,0.6,0.0144
Leicester City,Arsenal,0.7345966692414834,0.0
Arsenal,West Brom,0.6,0.0144
West Brom,Arsenal,0.5599999999999999,0.010000000000000002
Arsenal,Newcastle Utd,0.6,0.0144
Newcastle Utd,Arsenal,0.6528203230275509,0.0
Arsenal,West Ham,0.6,0.0144
West Ham,Arsenal,0.6,0.010000000000000002
Arsenal,Leeds United,0.6,0.0144
Leeds United,Arsenal,0.7745966692414834,0.0
Arsenal,Liverpool,0.6,0.0144
Liverpool,Arsenal,0.59,0.5333225575051662
Arsenal,Southampton,0.6,0.0144
Southampton,Arsenal,0.6028203230275508,0.12
Arsenal,Crystal Palace,0.6,0.0144
Crystal Palace,Arsenal,0.7645966692414834,0.010000000000000002
Crystal Palace,Aston Villa,0.7645966692414834,0.010000000000000002
Aston Villa,Crystal Palace,0.6,0.010000000000000002
Crystal Palace,Manchester City,0.7645966692414834,0.010000000000000002
Manchester City,Crystal Palace,0.7745966692414834,0.04000000000000001
Crystal Palace,Manchester Utd,0.7645966692414834,0.010000000000000002
Manchester Utd,Crystal Palace,0.9486832980505138,0.0
Crystal Palace,Burnley,0.7645966692414834,0.010000000000000002
Burnley,Crystal Palace,0.6,0.0
Crystal Palace,Chelsea,0.7645966692414834,0.010000000000000002
Chelsea,Crystal Palace,0.6828203230275509,0.1
Crystal Palace,Brighton,0.7645966692414834,0.010000000000000002
Brighton,Crystal Palace,0.5477225575051662,0.0
Crystal Palace,Wolves,0.7645966692414834,0.010000000000000002
Wolves,Crystal Palace,0.4798979485566356,0.1
Crystal Palace,Sheffield Utd,0.7645966692414834,0.010000000000000002
Sheffield Utd,Crystal Palace,0.4798979485566356,0.0
Crystal Palace,Everton,0.7645966692414834,0.010000000000000002
Everton,Crystal Palace,0.6495067811865476,0.5748555320336759
Crystal Palace,Tottenham,0.7645966692414834,0.010000000000000002
Tottenham,Crystal Palace,0.838528137423857,0.010000000000000002
Crystal Palace,Leicester City,0.7645966692414834,0.010000000000000002
Leicester City,Crystal Palace,0.7345966692414834,0.0
Crystal Palace,West Brom,0.7645966692414834,0.010000000000000002
West Brom,Crystal Palace,0.5599999999999999,0.010000000000000002
Crystal Palace,Newcastle Utd,0.7645966692414834,0.010000000000000002
Newcastle Utd,Crystal Palace,0.6528203230275509,0.0
Crystal Palace,West Ham,0.7645966692414834,0.010000000000000002
West Ham,Crystal Palace,0.6,0.010000000000000002
Crystal Palace,Leeds United,0.7645966692414834,0.010000000000000002
Leeds United,Crystal Palace,0.7745966692414834,0.0
Crystal Palace,Liverpool,0.7645966692414834,0.010000000000000002
Liverpool,Crystal Palace,0.59,0.5333225575051662
Crystal Palace,Southampton,0.7645966692414834,0.010000000000000002
Southampton,Crystal Palace,0.6028203230275508,0.12
Southampton,Aston Villa,0.6028203230275508,0.12
Aston Villa,Southampton,0.6,0.010000000000000002
Southampton,Manchester City,0.6028203230275508,0.12
Manchester City,Southampton,0.7745966692414834,0.04000000000000001
Southampton,Manchester Utd,0.6028203230275508,0.12
Manchester Utd,Southampton,0.9486832980505138,0.0
Southampton,Burnley,0.6028203230275508,0.12
Burnley,Southampton,0.6,0.0
Southampton,Chelsea,0.6028203230275508,0.12
Chelsea,Southampton,0.6828203230275509,0.1
Southampton,Brighton,0.6028203230275508,0.12
Brighton,Southampton,0.5477225575051662,0.0
Southampton,Wolves,0.6028203230275508,0.12
Wolves,Southampton,0.4798979485566356,0.1
Southampton,Sheffield Utd,0.6028203230275508,0.12
Sheffield Utd,Southampton,0.4798979485566356,0.0
Southampton,Everton,0.6028203230275508,0.12
Everton,Southampton,0.6495067811865476,0.5748555320336759
Southampton,Tottenham,0.6028203230275508,0.12
Tottenham,Southampton,0.838528137423857,0.010000000000000002
Southampton,Leicester City,0.6028203230275508,0.12
Leicester City,Southampton,0.7345966692414834,0.0
Southampton,West Brom,0.6028203230275508,0.12
